OBJECTID,YEAR_PM25_sample_pnt,X,Y,ymean_2020_AOD47,ymean_2020_nNDVI,ymean_2020_TMP,ymean_2020_SPFH,ymean_2020_WIND,ymean_2020_HGT,ymean_2020_PM25
176,176,-107.503074391740881,47.052070241022875,0.2379005,0.2665696,7.7738657,0.0045023,4.4958801,962.3671875,8.0129766
177,177,-106.879868163382980,47.052070241022875,0.2351328,0.2665696,8.1315651,0.0044975,4.8557501,936.8046875,8.7681332
178,178,-106.256661935025022,47.052070241022875,0.2405653,0.2626391,8.0983868,0.0046026,4.5141482,846.9257812,8.3016577
179,179,-105.633455706667121,47.052070241022875,0.2220320,0.2725609,6.9651775,0.0046665,4.3544455,884.2734375,7.5986247
180,180,-105.010249478309220,47.052070241022875,0.2282398,0.2922652,7.2711329,0.0048013,4.1197486,753.0312500,7.0083041
181,181,-104.387043249951148,47.052070241022875,0.2284792,0.3170696,7.0558863,0.0048332,4.2704849,755.7617188,6.6425056
182,182,-103.763837021593247,47.052070241022875,0.2197624,0.3170696,6.8251681,0.0048059,4.6043034,785.8750000,6.3993602
183,183,-103.140630793235459,47.052070241022875,0.2348110,0.3274913,6.7176509,0.0047844,4.7668672,755.2421875,6.2523961
184,184,-102.517424564877444,47.052070241022875,0.2208412,0.3472913,6.4542885,0.0049285,4.5032191,661.2226562,6.2097721
185,185,-101.894218336519543,47.052070241022875,0.1998088,0.3480478,6.3234129,0.0050848,4.3357458,622.0000000,6.2503881
186,186,-101.271012108161642,47.052070241022875,0.1854409,0.3367304,6.3185620,0.0052998,4.4920855,644.9960938,6.2481437
187,187,-100.647805879803741,47.052070241022875,0.2049490,0.3367304,6.3792715,0.0053204,5.0395503,567.4531250,6.1618247
188,188,-100.024599651445840,47.052070241022875,0.2105589,0.3300391,5.9853163,0.0053363,5.3393264,555.4296875,6.0800195
189,189,-99.401393423087939,47.052070241022875,0.2360058,0.3012304,5.7010489,0.0053714,5.2669687,556.5351562,6.0417399
190,190,-98.778187194730037,47.052070241022875,0.2592507,0.3057044,5.8500319,0.0054455,5.0737195,507.0351562,6.1264629
191,191,-98.154980966372079,47.052070241022875,0.2077960,0.3060739,5.6202078,0.0058413,5.3189158,417.4843750,6.5551825
192,192,-97.531774738014178,47.052070241022875,0.2494290,0.3060739,5.6528759,0.0057592,5.1494217,335.3828125,7.1288390
193,193,-96.908568509656277,47.052070241022875,0.2246206,0.3036913,5.8968296,0.0055631,4.9689860,274.7734375,7.1148810
194,194,-96.285362281298376,47.052070241022875,0.2505034,0.3295696,5.8656015,0.0054670,4.6323929,303.5351562,6.6785064
195,195,-95.662156052940418,47.052070241022875,0.2235427,0.4130478,4.8466425,0.0052906,3.4949992,471.3828125,6.0386796
196,196,-95.038949824582517,47.052070241022875,0.2308841,0.4574478,4.9741440,0.0052575,3.1967552,452.0429688,5.9114399
197,197,-94.415743596224615,47.052070241022875,0.2139552,0.4574478,5.0349813,0.0053170,2.7202275,422.1445312,5.8481789
198,198,-93.792537367866601,47.052070241022875,0.2053930,0.4485304,5.2476668,0.0054095,2.3839159,413.0937500,5.9300828
199,199,-93.169331139508699,47.052070241022875,0.1974411,0.4712696,5.1244884,0.0050923,2.5736651,389.0468750,5.8795791
200,200,-92.546124911150798,47.052070241022875,0.2114890,0.4651043,4.9992323,0.0049410,2.7226598,406.3476562,5.9298973
201,201,-91.922918682792897,47.052070241022875,0.2119676,0.4654087,4.8769155,0.0048885,3.0432081,382.3437500,5.8426027
202,202,-88.806887541003334,47.052070241022875,0.1843080,0.3911043,6.1261516,0.0053925,2.7896159,264.6367188,7.6709204
203,203,-69.487494461907886,47.052070241022875,0.2303349,0.5528913,4.0344696,0.0049497,2.7996416,378.3906250,5.6250463
204,204,-68.864288233549928,47.052070241022875,0.2265276,0.5333304,4.8696856,0.0050210,2.9138098,308.3906250,5.3138375
205,205,-68.241082005192027,47.052070241022875,0.2148520,0.4698870,5.0317855,0.0049212,2.9807630,218.3554688,5.1893635
206,206,-123.706436329046596,46.428864012664917,0.2145950,0.7486870,10.2844439,0.0070093,2.5611782,136.1523438,12.7783957
207,207,-123.083230100688809,46.428864012664917,0.2303670,0.7583261,10.2147627,0.0065134,3.0782611,292.4218750,13.8332529
208,208,-122.460023872330908,46.428864012664917,0.2136798,0.7191087,10.1597853,0.0066473,1.4072956,245.3710938,11.4766426
209,209,-121.836817643972893,46.428864012664917,0.1848907,0.6515652,7.3949103,0.0056416,2.5174339,999.3281250,8.2726383
210,210,-121.213611415614992,46.428864012664917,0.1926316,0.6515652,7.0955534,0.0046974,3.3149769,1160.3632812,8.2078686
211,211,-120.590405187257090,46.428864012664917,0.2065051,0.4381217,11.2487078,0.0047166,2.9091625,516.8984375,10.8157902
212,212,-119.967198958899189,46.428864012664917,0.2241007,0.3298261,11.6368723,0.0049659,2.4818885,366.5390625,12.5363941
